id block state chan freq value
040 02 OM 1 0.090 -83.167
040 02 OM 1 0.095 -84.122
040 02 OM 1 0.100 -84.613
040 02 OM 2 0.005 -57.066
040 02 OM 2 0.010 -64.259
040 02 OM 2 0.015 -70.780
040 02 OM 2 0.020 -74.860
040 02 OM 2 0.025 -74.711
040 02 OM 2 0.030 -74.269
040 02 OM 2 0.035 -77.267
040 02 OM 2 0.040 -78.436
040 02 OM 2 0.045 -75.716
040 02 OM 2 0.050 -68.551
040 02 OM 2 0.055 -69.797
040 02 OM 2 0.060 -80.904
040 02 OM 2 0.065 -78.105
040 02 OM 2 0.070 -79.454
040 02 OM 2 0.075 -85.394
040 02 OM 2 0.080 -82.359
040 02 OM 2 0.085 -84.737
040 02 OM 2 0.090 -84.400
040 02 OM 2 0.095 -84.009
040 02 OM 2 0.100 -84.848
040 02 OM 3 0.005 -60.137
040 02 OM 3 0.010 -66.123
040 02 OM 3 0.015 -69.158
040 02 OM 3 0.020 -73.558
040 02 OM 3 0.025 -75.998
040 02 OM 3 0.030 -77.834
040 02 OM 3 0.035 -78.783
040 02 OM 3 0.040 -78.545
040 02 OM 3 0.045 -77.207
040 02 OM 3 0.050 -68.951
040 02 OM 3 0.055 -69.866
040 02 OM 3 0.060 -82.607
040 02 OM 3 0.065 -79.867
040 02 OM 3 0.070 -80.720
040 02 OM 3 0.075 -84.951
040 02 OM 3 0.080 -83.589
040 02 OM 3 0.085 -86.965
040 02 OM 3 0.090 -85.390
040 02 OM 3 0.095 -85.794
040 02 OM 3 0.100 -86.863
040 02 OM 4 0.005 -57.831
040 02 OM 4 0.010 -63.849
040 02 OM 4 0.015 -67.004
040 02 OM 4 0.020 -69.765
040 02 OM 4 0.025 -71.245
040 02 OM 4 0.030 -77.585
040 02 OM 4 0.035 -77.458
040 02 OM 4 0.040 -76.401
040 02 OM 4 0.045 -74.342
040 02 OM 4 0.050 -68.750
040 02 OM 4 0.055 -69.224
040 02 OM 4 0.060 -79.196
040 02 OM 4 0.065 -78.360
040 02 OM 4 0.070 -80.167
040 02 OM 4 0.075 -84.879
040 02 OM 4 0.080 -83.789
040 02 OM 4 0.085 -84.613
040 02 OM 4 0.090 -85.165
040 02 OM 4 0.095 -85.384
040 02 OM 4 0.100 -86.106
040 02 OM 5 0.005 -57.003
040 02 OM 5 0.010 -64.265
040 02 OM 5 0.015 -70.991
040 02 OM 5 0.020 -74.038
040 02 OM 5 0.025 -75.216
040 02 OM 5 0.030 -74.938
040 02 OM 5 0.035 -75.103
040 02 OM 5 0.040 -75.762
040 02 OM 5 0.045 -73.510
040 02 OM 5 0.050 -70.409
040 02 OM 5 0.055 -71.676
040 02 OM 5 0.060 -77.264
040 02 OM 5 0.065 -76.076
040 02 OM 5 0.070 -78.049
040 02 OM 5 0.075 -83.335
040 02 OM 5 0.080 -80.789
040 02 OM 5 0.085 -81.157
040 02 OM 5 0.090 -81.678
040 02 OM 5 0.095 -83.302
040 02 OM 5 0.100 -88.587
040 02 OM 6 0.005 -56.281
040 02 OM 6 0.010 -63.108
040 02 OM 6 0.015 -66.236
040 02 OM 6 0.020 -70.863
040 02 OM 6 0.025 -74.690
040 02 OM 6 0.030 -79.152
040 02 OM 6 0.035 -76.621
040 02 OM 6 0.040 -74.661
040 02 OM 6 0.045 -72.794
040 02 OM 6 0.050 -68.496
040 02 OM 6 0.055 -69.503
040 02 OM 6 0.060 -78.876
040 02 OM 6 0.065 -77.569
040 02 OM 6 0.070 -79.088
040 02 OM 6 0.075 -84.077
040 02 OM 6 0.080 -82.954
040 02 OM 6 0.085 -82.157
040 02 OM 6 0.090 -82.796
040 02 OM 6 0.095 -83.717
040 02 OM 6 0.100 -85.900
040 02 OM 7 0.005 -62.767
040 02 OM 7 0.010 -65.551
040 02 OM 7 0.015 -66.776
040 02 OM 7 0.020 -69.901
040 02 OM 7 0.025 -73.230
040 02 OM 7 0.030 -77.167
040 02 OM 7 0.035 -76.084
040 02 OM 7 0.040 -76.589
040 02 OM 7 0.045 -72.435
040 02 OM 7 0.050 -69.953
040 02 OM 7 0.055 -71.029
040 02 OM 7 0.060 -78.242
040 02 OM 7 0.065 -77.753
040 02 OM 7 0.070 -77.555
040 02 OM 7 0.075 -82.403
040 02 OM 7 0.080 -80.172
040 02 OM 7 0.085 -79.636
040 02 OM 7 0.090 -81.607
040 02 OM 7 0.095 -80.286
040 02 OM 7 0.100 -85.653
040 02 OM 8 0.005 -60.537
040 02 OM 8 0.010 -63.819
040 02 OM 8 0.015 -65.714
040 02 OM 8 0.020 -69.959
040 02 OM 8 0.025 -74.180
040 02 OM 8 0.030 -77.586
040 02 OM 8 0.035 -74.545
040 02 OM 8 0.040 -74.706
040 02 OM 8 0.045 -73.903
040 02 OM 8 0.050 -71.190
040 02 OM 8 0.055 -71.640
040 02 OM 8 0.060 -79.664
040 02 OM 8 0.065 -77.884
040 02 OM 8 0.070 -78.219
040 02 OM 8 0.075 -81.359
040 02 OM 8 0.080 -82.611
040 02 OM 8 0.085 -83.239
040 02 OM 8 0.090 -83.408
